,t_start,t_end,mean,stdev,l_bound,h_bound,median
1,1,1,0,0,0,0,0
2,1,2,0,0,0,0,0
3,1,3,0,0,0,0,0
4,1,4,0,0,0,0,0
5,1,5,0,0,0,0,0
6,1,6,0,0,0,0,0
7,1,7,0,0,0,0,0
8,2,8,0,0,0,0,0
9,3,9,0,0,0,0,0
10,4,10,0,0,0,0,0
11,5,11,0,0,0,0,0
12,6,12,0,0,0,0,0
13,7,13,0,0,0,0,0
14,8,14,0,0,0,0,0
15,9,15,0,0,0,0,0
16,10,16,0,0,0,0,0
17,11,17,0,0,0,0,0
18,12,18,0,0,0,0,0
19,13,19,0.425266019,0.300708486,0.075561587,1.008702189,0.356871971
20,14,20,0.495000691,0.350018345,0.087952097,1.174108107,0.41539146
21,15,21,0.627149973,0.443461999,0.111432481,1.487557253,0.526287635
22,16,22,0.855537003,0.604956017,0.152012461,2.029275817,0.717943977
23,17,23,1.150160178,0.813286062,0.204361329,2.72810203,0.965183937
24,18,24,1.410116387,0.997102859,0.250550545,3.344700547,1.183332297
25,19,25,1.56496049,1.106594174,0.278063362,3.711980269,1.313273364
26,20,26,2.448646355,1.413726632,0.667412394,5.138724034,2.182609347
27,21,27,2.48433949,1.434334073,0.677141051,5.213629571,2.214424545
28,22,28,2.4708457,1.42654343,0.673463132,5.185311533,2.202396809
29,23,29,2.282932266,1.318051558,0.622244729,4.7909568,2.034899524
30,24,30,1.932814416,1.115910923,0.526815272,4.056200224,1.722820774
31,25,31,2.19405642,1.09702821,0.749444913,4.252989972,2.014177116
32,26,32,1.979868507,0.989934254,0.676282691,3.837805094,1.817549358
33,27,33,3.739989379,1.322285926,1.861029367,6.146725746,3.585363932
34,28,34,4.808140266,1.449708837,2.696495668,7.41424812,4.663250196
35,29,35,4.243530294,1.279472525,2.379851756,6.54360829,4.115654365
36,30,36,4.832299361,1.20807484,3.031046707,6.975765337,4.732007871
37,31,37,3.774627576,0.889688252,2.439731479,5.347227613,3.704961879
38,32,38,2.672328704,0.629873916,1.727260328,3.785684694,2.623007377
39,33,39,2.018850599,0.47584765,1.304884591,2.859951997,1.981590067
40,34,40,1.145653665,0.317747157,0.677661043,1.713419294,1.11641562
41,35,41,0.876373881,0.252987348,0.50568325,1.329715828,0.852154059
42,36,42,0.780538485,0.225322052,0.450384529,1.184305465,0.758967208
43,37,43,0.441365534,0.166820491,0.207146445,0.746689325,0.420535418
44,38,44,0.531953888,0.188074101,0.26470177,0.874273782,0.509960882
45,39,45,0.589317879,0.208355334,0.293246255,0.968552317,0.564953227
46,40,46,0.925155336,0.278944829,0.518844546,1.426607967,0.897276403
47,41,47,1.387497197,0.370824224,0.83883497,2.048398689,1.354605049
48,42,48,1.383365585,0.399343246,0.798226441,2.098970717,1.345134335
49,43,49,1.591900936,0.441513881,0.941618991,2.380818794,1.551274285
50,44,50,1.366916034,0.39459467,0.788734759,2.074011931,1.32913939
51,45,51,0.902376365,0.300792122,0.470762485,1.447276305,0.869184073
52,46,52,1.096412362,0.316506986,0.63264935,1.663578642,1.066111467
53,47,53,0.877008543,0.277334452,0.475812715,1.377360898,0.847954532
54,48,54,0.801456608,0.267152203,0.41811346,1.285416156,0.771976468
55,49,55,0.934562759,0.295534693,0.507038212,1.467751039,0.903602061
56,50,56,1.070676947,0.322821246,0.600455808,1.651005192,1.038412818
57,51,57,1.115923209,0.336463507,0.625830764,1.720775829,1.082295614
58,52,58,1.166810038,0.351806463,0.654369057,1.799244334,1.131649003
59,53,59,0.863194753,0.305185432,0.429528168,1.418672857,0.827506985
60,54,60,0.846597113,0.29931728,0.421269135,1.391394398,0.811595555
61,55,61,0.617593453,0.252131471,0.268963466,1.082130255,0.583642404
62,56,62,0.622144456,0.25398941,0.270945439,1.090104397,0.587943224
63,57,63,0.442840994,0.221420497,0.151265449,0.85840924,0.406534758
64,58,64,0.495514633,0.247757317,0.16925769,0.960512568,0.454889959
65,59,65,0.57133769,0.285668845,0.195157299,1.107489052,0.524496676
66,60,66,0.504802658,0.291447951,0.137590939,1.059377785,0.449957585
67,61,67,0.405433791,0.286684983,0.072037782,0.961661488,0.340229292
68,62,68,0.486279567,0.343851579,0.086402521,1.153422191,0.408072923
69,63,69,0.286237666,0.286237666,0.014682073,0.857491413,0.198404831
70,64,70,0.34490092,0.34490092,0.017691104,1.033230819,0.239067101
71,65,71,0.88080697,0.622824581,0.156502448,2.089214466,0.739149863
72,66,72,1.20364631,0.851106468,0.213864786,2.854967512,1.010068081
73,67,73,4.471091561,1.999532933,1.761743821,8.185244334,4.176812257
74,68,74,6.317834859,2.825421643,2.489415924,11.56608432,5.902006192
75,69,75,9.962938615,3.522430728,4.957586632,16.37423134,9.551032677
76,70,76,8.012202171,2.533680793,4.34694473,12.58333691,7.746769622
77,71,77,6.535811135,1.746769001,3.951335508,9.64899028,6.380872543
78,72,78,4.153441445,1.110053919,2.511033492,6.1318351,4.054979546
79,73,79,3.220093671,0.805023418,2.019795047,4.648432585,3.153262548
80,74,80,2.856807095,0.638801486,1.893299137,3.982280481,2.809337306
81,75,81,2.268130837,0.494946726,1.519866347,3.138879101,2.232232127
82,76,82,2.288080686,0.448729541,1.60328864,3.07272341,2.258814119
83,77,83,2.161023627,0.401292013,1.545949896,2.860666322,2.136235673
84,78,84,2.171614242,0.37242877,1.597421337,2.81831344,2.150361413
85,79,85,1.982399356,0.330399893,1.471995756,2.555320214,1.964074328
86,80,86,1.707920361,0.284653394,1.268186209,2.20151576,1.69213258
87,81,87,1.391893454,0.238707758,1.023865224,1.806394502,1.378271479
88,82,88,1.28756901,0.214594835,0.95606171,1.659681289,1.275666898
89,83,89,0.966957519,0.176541482,0.696015353,1.274481347,0.956235028
90,84,90,0.788499206,0.154637417,0.552511906,1.058896211,0.778413607
91,85,91,0.532556691,0.125524816,0.344218151,0.754432534,0.52272766
92,86,92,0.476029424,0.119007356,0.298588169,0.687182086,0.466149717
93,87,93,0.561855222,0.132430546,0.363155264,0.795937533,0.551485448
94,88,94,0.588741442,0.142790774,0.375137055,0.841594937,0.577238601
95,89,95,0.689261654,0.167170506,0.439186998,0.985286709,0.675794847
96,90,96,0.767538931,0.191884733,0.481436719,1.107996643,0.751609118
97,91,97,0.922972753,0.223853773,0.588104141,1.319372376,0.904939694
98,92,98,1.047890058,0.246990055,0.677304002,1.484466094,1.028549874
99,93,99,1.150200818,0.263874165,0.753197031,1.615836634,1.130086007
100,94,100,1.053214427,0.255442019,0.671092147,1.505550427,1.032636704
101,95,101,1.241009558,0.277498173,0.822457466,1.729920143,1.220388473
102,96,102,1.275409059,0.278317074,0.85464704,1.765045814,1.255222595
103,97,103,1.599136596,0.307753981,1.128759985,2.136719416,1.579438087
104,98,104,1.913311937,0.333064857,1.400352367,2.492086115,1.894020644
105,99,105,1.729283269,0.310588444,1.252029636,2.269852064,1.71072479
106,100,106,1.544046808,0.281903089,1.111403823,2.035103733,1.526925035
107,101,107,1.398749678,0.251222858,1.012717859,1.835994658,1.383738449
108,102,108,1.296492792,0.225690426,0.948902641,1.688680043,1.283420683
109,103,109,1.61193882,0.240293652,1.238077021,2.026480592,1.600014384
110,104,110,1.885079971,0.254184131,1.487355992,2.32173609,1.873667635
111,105,111,1.830181795,0.246781663,1.444040518,2.254121411,1.819101814
112,106,112,1.961101452,0.247075559,1.573148749,2.384417695,1.950735071
113,107,113,1.771831162,0.219768608,1.42649079,2.148139794,1.762753179
114,108,114,1.702237034,0.199231775,1.388311843,2.042656077,1.694470603
115,109,115,1.38654238,0.168142961,1.122039418,1.674211191,1.379751559
116,110,116,1.117071177,0.143026308,0.892675076,1.362270702,1.110972928
117,111,117,0.888168359,0.121999307,0.697465723,1.097905616,0.882588683
118,112,118,0.862028761,0.116235934,0.680153448,1.061707363,0.856810011
