,t_start,t_end,mean,stdev,l_bound,h_bound,median
1,1,1,0,0,0,0,0
2,1,2,0,0,0,0,0
3,1,3,0,0,0,0,0
4,1,4,0,0,0,0,0
5,1,5,0,0,0,0,0
6,1,6,0,0,0,0,0
7,1,7,0,0,0,0,0
8,2,8,0,0,0,0,0
9,3,9,0,0,0,0,0
10,4,10,0,0,0,0,0
11,5,11,0,0,0,0,0
12,6,12,0,0,0,0,0
13,7,13,0,0,0,0,0
14,8,14,0,0,0,0,0
15,9,15,0,0,0,0,0
16,10,16,0,0,0,0,0
17,11,17,0,0,0,0,0
18,12,18,0,0,0,0,0
19,13,19,1.189265992,0.376078928,0.645225049,1.867767979,1.149867348
20,14,20,0.936397389,0.331066472,0.465954008,1.53898243,0.897683145
21,15,21,0.94294343,0.333380847,0.469211336,1.54974094,0.903958546
22,16,22,1.072094176,0.357364725,0.5593029,1.71947821,1.03265912
23,17,23,0.83998592,0.317484836,0.394231275,1.421063659,0.800343034
24,18,24,1.355476519,0.408691548,0.760176775,2.090171808,1.314630147
25,19,25,1.783129683,0.476561454,1.078021302,2.632481359,1.740858632
26,20,26,5.618070422,0.856747707,4.286932533,7.097575744,5.574580018
27,21,27,10.47903832,1.164337591,8.6401913,12.46488504,10.4359464
28,22,28,9.193147484,1.015213306,7.589392175,10.9242924,9.155804093
29,23,29,9.346865647,0.822945633,8.035666742,10.74041485,9.322724666
30,24,30,6.49650541,0.499731185,5.696947899,7.339757275,6.483696292
31,25,31,4.602180589,0.321430235,4.086542036,5.143338311,4.594699535
32,26,32,3.3368079,0.223951883,2.977180777,3.713521155,3.331799017
33,27,33,2.669116612,0.169148392,2.397118296,2.953300482,2.665544349
34,28,34,2.182020543,0.132061891,1.969436049,2.403691223,2.179356873
35,29,35,1.87004645,0.108694242,1.694923428,2.052351594,1.867940964
36,30,36,1.572033357,0.091218627,1.425060939,1.725023019,1.570269362
37,31,37,1.440748233,0.081566307,1.309259703,1.577486404,1.439209264
38,32,38,1.277203334,0.072657559,1.160087866,1.399017711,1.275825817
39,33,39,1.276300616,0.069524525,1.164136177,1.392770567,1.275038424
40,34,40,1.194102773,0.065143647,1.089009149,1.303236608,1.192918357
41,35,41,1.155530092,0.062667418,1.054419376,1.26050452,1.154397417
42,36,42,1.056201191,0.058859791,0.961285796,1.15484556,1.055108017
43,37,43,0.887595989,0.053044006,0.80218536,0.976610286,0.886539551
44,38,44,0.757701183,0.048309263,0.680028726,0.838875016,0.756674735
45,39,45,0.756527974,0.047943012,0.679433427,0.837076365,0.75551546
46,40,46,0.804963943,0.049826017,0.724797908,0.888636022,0.803936126
47,41,47,0.789010631,0.050615056,0.707642662,0.874069661,0.787928576
48,42,48,0.709106619,0.049769528,0.629276489,0.792907487,0.707942581
49,43,49,0.773491562,0.05363199,0.687438954,0.863771349,0.772252346
50,44,50,0.824413915,0.056487911,0.733751459,0.91947611,0.823124112
51,45,51,0.778105392,0.056009252,0.688326691,0.87246689,0.776761927
52,46,52,0.754995388,0.056748928,0.664138854,0.850700447,0.753574029
53,47,53,0.616989028,0.05271293,0.532918763,0.706177955,0.615488489
54,48,54,0.568365561,0.051669596,0.486129626,0.655939994,0.566800584
55,49,55,0.589999411,0.053859331,0.50429064,0.681296042,0.588361336
56,50,56,0.633982287,0.0578744,0.541884157,0.732084837,0.632222098
57,51,57,0.683169998,0.063430742,0.582289582,0.790743697,0.681207872
58,52,58,0.794359752,0.072818839,0.678496688,0.917809357,0.792135766
59,53,59,0.883521382,0.080992272,0.754653455,1.020827388,0.881047768
60,54,60,0.995733108,0.089061077,0.853907139,1.146612565,0.993079082
61,55,61,1.118387807,0.096255497,0.964909316,1.281282064,1.115627571
62,56,62,1.120292251,0.097141658,0.965438467,1.284719609,1.117485756
63,57,63,1.118904602,0.097021334,0.964242627,1.283128292,1.116101583
64,58,64,1.047366976,0.09293879,0.899326308,1.204780699,1.044619268
65,59,65,0.990905446,0.088985936,0.849218446,1.141674666,0.988242999
66,60,66,0.933587704,0.085224507,0.797966119,1.078051258,0.930995689
67,61,67,0.784699091,0.077696788,0.661419936,0.916720902,0.78213621
68,62,68,0.681297795,0.072626589,0.566398228,0.804994831,0.678718867
69,63,69,0.60838103,0.069331453,0.499006141,0.726733302,0.605749382
70,64,70,0.591426232,0.06970025,0.481635679,0.710549574,0.588690412
71,65,71,0.668934519,0.076732052,0.5479198,0.799949946,0.666002894
72,66,72,0.75846513,0.085879265,0.622946482,0.905032442,0.7552263
73,67,73,0.937413514,0.101083899,0.777568719,1.109644273,0.933782642
74,68,74,1.107880964,0.115504575,0.924981115,1.304465042,1.103869498
75,69,75,1.212776186,0.124428211,1.015620342,1.42443912,1.208523496
76,70,76,1.172519042,0.122913393,0.97793016,1.381749598,1.168226908
77,71,77,1.223778615,0.123620308,1.027784049,1.433964006,1.219618629
78,72,78,1.175634327,0.118155696,0.988266977,1.376496598,1.171678341
79,73,79,1.14747639,0.114178168,0.966347185,1.341516611,1.143691569
80,74,80,1.102012841,0.110201284,0.92722564,1.289323446,1.09834165
81,75,81,1.063347222,0.106870417,0.89387569,1.24502475,1.059769079
82,76,82,1.058723143,0.10534689,0.891603642,1.237755037,1.055231064
83,77,83,1.079306483,0.105329528,0.912092328,1.258202241,1.075882054
84,78,84,1.047043857,0.103168297,0.883319685,1.222320377,1.043657322
85,79,85,1.011068915,0.101106892,0.850706077,1.182921658,1.00770069
86,80,86,0.973253894,0.098818961,0.816611939,1.141297894,0.969911429
87,81,87,0.813758729,0.089864618,0.671797569,0.966996158,0.810453168
88,82,88,0.759923942,0.086601371,0.623304632,0.907756831,0.756636772
89,83,89,0.616682214,0.078318719,0.493756718,0.750907225,0.613369905
90,84,90,0.584412712,0.077407355,0.463178404,0.717293675,0.58099867
91,85,91,0.62045622,0.082181434,0.491744816,0.761532584,0.616831618
92,86,92,0.630181602,0.0865621,0.494872467,0.778996361,0.626222657
93,87,93,0.744324666,0.099464567,0.588617145,0.915130323,0.739898881
94,88,94,0.72975468,0.104250669,0.567151881,0.909272356,0.724796411
95,89,95,0.703154506,0.107230057,0.536550043,0.888328553,0.697711272
96,90,96,0.645623613,0.106139868,0.481506362,0.829551893,0.639816592
97,91,97,0.584631234,0.103349177,0.425638077,0.764362045,0.578552732
98,92,98,0.482152948,0.09643059,0.335233728,0.650952829,0.475739703
99,93,99,0.585491085,0.110647415,0.416130236,0.77858107,0.578535897
100,94,100,0.583216951,0.11664339,0.405502017,0.787398949,0.575459428
101,95,101,0.773447578,0.14362561,0.553307788,1.023855274,0.764575772
102,96,102,1.011913577,0.176151544,0.740619209,1.318016015,1.001710786
103,97,103,1.577985747,0.232661305,1.215762058,1.979167865,1.566565916
104,98,104,2.046472747,0.273471424,1.618364943,2.516091902,2.034304336
105,99,105,1.961932333,0.266985174,1.544384119,2.420749496,1.949835019
106,100,106,1.685233917,0.235979949,1.316753876,2.091245564,1.674232206
107,101,107,1.505085872,0.204816245,1.184765998,1.857064999,1.495805483
108,102,108,1.595448906,0.193476599,1.29109401,1.926459985,1.58763493
109,103,109,1.613784762,0.183907842,1.323658147,1.927724684,1.606804082
110,104,110,1.563424749,0.175899027,1.285776359,1.863559673,1.556832991
111,105,111,1.387505637,0.161294254,1.133279327,1.663035662,1.381260641
112,106,112,1.371150826,0.153299323,1.129108912,1.63266748,1.365441949
113,107,113,1.279480354,0.140441214,1.057564995,1.518912025,1.274345564
114,108,114,1.307911011,0.136359149,1.091988241,1.539988723,1.303175267
115,109,115,1.193925146,0.127272848,0.992571958,1.410695261,1.189405761
116,110,116,1.245996773,0.127836572,1.043440399,1.463457616,1.241627592
117,111,117,1.52464892,0.138604447,1.304049825,1.759568617,1.520450849
118,112,118,1.698963823,0.143078565,1.470667153,1.940955729,1.694949053
