,t_start,t_end,mean,stdev,l_bound,h_bound,median
1,1,1,0,0,0,0,0
2,1,2,0,0,0,0,0
3,1,3,0,0,0,0,0
4,1,4,0,0,0,0,0
5,1,5,0,0,0,0,0
6,1,6,0,0,0,0,0
7,1,7,0,0,0,0,0
8,2,8,0,0,0,0,0
9,3,9,0,0,0,0,0
10,4,10,0,0,0,0,0
11,5,11,0,0,0,0,0
12,6,12,0,0,0,0,0
13,7,13,0,0,0,0,0
14,8,14,0,0,0,0,0
15,9,15,0,0,0,0,0
16,10,16,0,0,0,0,0
17,11,17,0,0,0,0,0
18,12,18,0,0,0,0,0
19,13,19,1.278553318,0.452036861,0.636211773,2.101320566,1.22569304
20,14,20,0.883056168,0.360506171,0.384573131,1.54726672,0.834511802
21,15,21,1.449925808,0.458506799,0.786643574,2.277139861,1.401891885
22,16,22,1.919279149,0.53231226,1.135265175,2.87043984,1.87029753
23,17,23,6.185218575,0.965968853,4.686607294,7.855132415,6.135005574
24,18,24,11.75218799,1.322224452,9.665118515,14.00828766,11.70263807
25,19,25,10.11950116,1.131394625,8.333159798,12.04957189,10.07736795
26,20,26,10.00999534,0.888243453,8.59512698,11.51444476,9.983734685
27,21,27,6.771593896,0.524001668,5.933348172,7.655929436,6.758082547
28,22,28,4.70632152,0.331135627,4.175215475,5.263911667,4.698557595
29,23,29,3.384313652,0.228690724,3.017139076,3.769054945,3.379163886
30,24,30,2.649144398,0.170293452,2.375396697,2.93533623,2.645496334
31,25,31,2.137766292,0.131820317,1.925659642,2.359113253,2.13505744
32,26,32,1.834595712,0.108481919,1.659879385,2.016604324,1.832457932
33,27,33,1.51762842,0.090373457,1.372099142,1.669275627,1.51583491
34,28,34,1.391604868,0.081022368,1.261070174,1.527502289,1.390032749
35,29,35,1.240446259,0.072591627,1.123507087,1.362214752,1.239030512
36,30,36,1.253287864,0.070060921,1.140317077,1.370711099,1.251982598
37,31,37,1.198953884,0.066608549,1.091536322,1.310578291,1.197720619
38,32,38,1.171884182,0.064608066,1.067676585,1.280141162,1.170697077
39,33,39,1.073553399,0.060875628,0.975422437,1.175608635,1.072402972
40,34,40,0.913945772,0.055213483,0.825063147,1.006620285,0.912834157
41,35,41,0.77139736,0.049897547,0.691198675,0.855265092,0.770321759
42,36,42,0.766404375,0.049266339,0.687208452,0.849200417,0.76534898
43,37,43,0.803076056,0.050689711,0.721557089,0.88823217,0.802009806
44,38,44,0.77157768,0.050876326,0.689843699,0.857125137,0.77045974
45,39,45,0.691141693,0.049878855,0.611195134,0.775180056,0.689942165
46,40,46,0.751118556,0.053651325,0.66510175,0.841491522,0.74984153
47,41,47,0.808690698,0.056899279,0.717430355,0.904501824,0.807356617
48,42,48,0.776447327,0.057085543,0.684995852,0.87266953,0.775048772
49,43,49,0.742086063,0.057597049,0.649956056,0.839297382,0.740596463
50,44,50,0.607084802,0.053659222,0.521600682,0.697959394,0.605504586
51,45,51,0.559789479,0.052660564,0.476076948,0.649132021,0.558139052
52,46,52,0.575457985,0.054620055,0.488658392,0.668149401,0.573730808
53,47,53,0.613819206,0.058525365,0.520828721,0.713151381,0.611960153
54,48,54,0.661923405,0.064291685,0.55984023,0.771103191,0.659843053
55,49,55,0.775366026,0.074266596,0.657384036,0.901432188,0.77299617
56,50,56,0.891574857,0.084245905,0.757673634,1.034523001,0.888922768
57,51,57,1.014739069,0.093414303,0.866128137,1.173123366,1.011874018
58,52,58,1.169124238,0.102538979,1.005727977,1.342741834,1.166127854
59,53,59,1.171357107,0.103534319,1.006417331,1.346697685,1.168308114
60,54,60,1.181456572,0.103620596,1.01633675,1.356905547,1.178428581
61,55,61,1.093628411,0.098210731,0.937253321,1.260027236,1.090689959
62,56,62,1.022503861,0.092954896,0.874559358,1.180052457,1.01968843
63,57,63,0.960963067,0.088463821,0.820227758,1.110953804,0.95824985
64,58,64,0.806366981,0.080236514,0.679081913,0.942725017,0.803707271
65,59,65,0.694597527,0.074468672,0.576811396,0.821455893,0.691938055
66,60,66,0.624635872,0.071183864,0.512338684,0.746150303,0.621933912
67,61,67,0.604837548,0.071280789,0.492557359,0.726662159,0.60203969
68,62,68,0.672387236,0.07764059,0.549975891,0.804984841,0.669401221
69,63,69,0.759536234,0.086557187,0.622986626,0.9072937,0.756250741
70,64,70,0.902850018,0.099703105,0.745346778,1.072864066,0.89918256
71,65,71,1.067313497,0.113776001,0.88731312,1.261095887,1.063273376
72,66,72,1.132128436,0.120685297,0.941197144,1.337678685,1.127842971
73,67,73,1.071019239,0.118274289,0.884178683,1.272700928,1.066668663
74,68,74,1.087821788,0.117990839,0.901287416,1.288898446,1.083558807
75,69,75,1.061215351,0.114433794,0.880260257,1.256192192,1.057104959
76,70,76,1.033027565,0.111394227,0.856878964,1.222825472,1.029026353
77,71,77,0.964949444,0.107216605,0.795621463,1.147813715,0.960981377
78,72,78,0.939989331,0.105757062,0.773056753,1.120441653,0.93602612
79,73,79,0.902241023,0.103494143,0.739019601,1.078951135,0.898286926
80,74,80,0.915956509,0.104382932,0.751285626,1.094143416,0.911994395
81,75,81,0.844231593,0.100904975,0.68539145,1.016774164,0.840214864
82,76,82,0.803010283,0.099601167,0.64649883,0.973556838,0.798896057
83,77,83,0.786927835,0.099939935,0.630066664,0.958207946,0.782701108
84,78,84,0.640189716,0.091455674,0.497543642,0.797674652,0.63583999
85,79,85,0.570913868,0.088093922,0.434140994,0.723122498,0.566389255
86,80,86,0.47337035,0.082403201,0.346459601,0.616564217,0.468597513
87,81,87,0.494133872,0.087351353,0.35975189,0.646043447,0.488996286
88,82,88,0.686475308,0.108541277,0.518215734,0.874221791,0.680763233
89,83,89,0.749634456,0.121606767,0.561434945,0.960232128,0.743069068
90,84,90,0.898632772,0.143896407,0.675748164,1.147679943,0.89096393
91,85,91,0.857795718,0.149323068,0.627820399,1.117277719,0.849146846
92,86,92,0.735917084,0.141627309,0.519451408,0.983310823,0.726851899
93,87,93,0.600058627,0.127932929,0.406232559,0.824819949,0.590991727
94,88,94,0.438156737,0.109539184,0.274832629,0.632510189,0.429063056
95,89,95,0.229401257,0.081105592,0.114150719,0.377024229,0.219916933
96,90,96,0.317417515,0.100376232,0.172211879,0.498511076,0.306901936
97,91,97,0.334266401,0.111422134,0.17438409,0.536113156,0.321971012
98,92,98,0.463423177,0.146547276,0.251425874,0.727816128,0.448070644
99,93,99,0.795293091,0.220574617,0.470420653,1.189426235,0.774996542
100,94,100,1.60423827,0.358718582,1.063180968,2.236247159,1.577581639
101,95,101,2.326353102,0.474864839,1.604121148,3.158546259,2.294123639
102,96,102,2.449633734,0.500029392,1.68912848,3.325927375,2.415696333
103,97,103,1.993945955,0.425110706,1.349877714,2.740809526,1.963817385
104,98,104,1.724670546,0.352046901,1.189234985,2.3416272,1.700776836
105,99,105,2.072783646,0.345463941,1.53910902,2.671825904,2.053623119
106,100,106,1.650228591,0.287267925,1.207801754,2.149420426,1.633589881
107,101,107,1.159898327,0.231979665,0.806459948,1.565974244,1.144470212
108,102,108,0.851735896,0.190453936,0.564473128,1.187287457,0.837583129
109,103,109,0.681293136,0.160582332,0.440353989,0.965136135,0.668718979
110,104,110,0.669370583,0.153564143,0.438330357,0.940351886,0.657664572
111,105,111,0.723159063,0.161703282,0.479261072,1.008056241,0.711142778
112,106,112,0.844607976,0.184308571,0.565968778,1.168857757,0.831239991
113,107,113,1.602777378,0.270918824,1.18466492,2.072877144,1.587538946
114,108,114,3.469226133,0.417645748,2.81200805,4.18356742,3.452481056
115,109,115,4.487129901,0.481070821,3.726226427,5.306640398,4.469949592
116,110,116,4.17042372,0.44206403,3.470890512,4.923204101,4.154814598
117,111,117,3.067129818,0.326957137,2.54986425,3.624000643,3.055519758
118,112,118,1.989916887,0.215836791,1.648695649,2.357739854,1.982118755
